cue;nombre;direccion;id_localidad
20060000;INSTITUTO SAN VICENTE DE PAUL;24 DE NOVIEMBRE 1665 PARQUE PATRICIOS ;2104001
20003701;JIN B HOMERO MANZI DE 19 (N°1);ALAGON 300 NUEVA POMPEYA ;2104001
20251000;ESCUELA DE MUSICA Nº 12 DE 19;ALAGON 300 NUEVA POMPEYA ;2104001
20003800;MARIA SILVENTI DE AMATO;ALAGON 300 NUEVA POMPEYA ;2104001
20184532;CULTURAL Y COMUNITARIOS MORENOS ;ALCORTA AMANCIO AV. 3655 NUEVA POMPEYA ;2104001
20318801;CFP N°35 DE 05;ALGARROBO 1041 BARRACAS RETIRO;2104001
20245811;BARRACAS UNA Y OTRA VEZ;ALVARADO 1961 BARRACAS ;2104001
20118100;EI Nº 07 PADRE DANIEL DE LA SIERRA DE 05;ALVARADO 3295 BARRACAS ;2104001
20201023;CENTRO EDUCATIVO ASOCIACION CIVIL MIGUEL BRU;ANDRÈS FERREYRA  3555 PARQUE PATRICIOS ;2104001
20309500;JII N° 15 DE 05;Andrés Ferreyra 3705 NUEVA POMPEYA ;2104001
20318500;ESCUELA PRIMARIA N°21 DE 05;ANDRES FERREYRA 3749 NUEVA POMPEYA ;2104001
20058401;INST. DE ENSEÑANZA SUP EN LENGUAS VIVAS JUAN R.FERNANDEZ DE 19;ANIBAL PEDRO ARBELETCHE 1052 NUEVA POMPEYA ;2104001
20003703;JIN B HOMERO MANZI DE 19 (N°10);ANIBAL PEDRO ARBELETCHE 1052 NUEVA POMPEYA ;2104001
20004300;JUAN ANDRES DE LA PEÑA;ANIBAL PEDRO ARBELETCHE 1052 NUEVA POMPEYA ;2104001
20132800;ENS Nº 05 GRAL. MARTIN MIGUEL GUEMES DE 05;ARCAMENDIA 743 BARRACAS ;2104001
20152500;LICEO COMERCIAL Nº 03 JOSE MANUEL ESTRADA DE 05;ARCAMENDIA 743 BARRACAS 719/793;2104001
20287000;BACH.POP. DE JOVENES Y ADULTOS LA PULPERIA;ARISTOBULO DEL VALLE  778 BOCA ;2104001
20275700;JARDIN TIEMPOS DE DUENDES;ARISTOBULO DEL VALLE 1725 BARRACAS ;2104001
20175300;INST. TIEMPO EDUCATIVO;ARISTOBULO DEL VALLE 1725 BARRACAS ;2104001
20054000;ALMIRANTE GUILLERMO BROWN;ARISTOBULO DEL VALLE 471 BOCA ;2104001
20157601;CENS Nº 36 DE 05;AV. GRAL. IRIARTE  3500 BARRACAS ;2104001
20220300;JII Nº 08 DR. GENARO GIACOBINI DE 05;AVDA. ALMAFUERTE 14 PARQUE PATRICIOS ;2104001
20168700;PATRICIOS;AVDA. ALMAFUERTE 66 PARQUE PATRICIOS ;2104001
20300700;ESCUELA INFANTIL Nº11 DE 4°;AVDA. ALMTE. BROWN 373 BOCA ESQ. CNEL DE MARINA TOMAS ESPORA;2104001
20079300;ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 04 DE 04;AVDA. ALMTE. BROWN 473 BOCA ;2104001
20029700;CARLOS N. VERGARA;AVDA. AMANCIO ALCORTA 1934 BARRACAS ;2104001
20117800;MARCOS PAZ;AVDA. AMANCIO ALCORTA 2502 PARQUE PATRICIOS ;2104001
