id;id_provincia;nombre
94028004;24;BASE ESPERANZA
94014028;24;USHUAIA
94014024;24;PUESTO ALMANZA
94014022;24;LAGUNA ESCONDIDA
94011010;24;TOLHUIN
94007078;24;ESTANCIA SARA
94007012;24;CULLEN
90119039;23;YERBA BUENA - MARCOS PAZ
90119013;23;EL CORTE
90119005;23;CEVIL REDONDO
90119004;23;CENTRO UNIVERSITARIO HORCO MOLLE
90119003;23;CAÑADA DE YERBA BUENA
90112210;23;ÑORCO
90112209;23;ZARATE SUR
90112208;23;ZARATE NORTE
90112204;23;VIPOS
90112202;23;VILLA TRANCAS
90112194;23;TICUCHO
90112193;23;TAPIA/TAPIAS
90112177;23;SAN PEDRO DE COLALAO
90112169;23;RODEO GRANDE
90112165;23;REARTE SUR
90112121;23;LEOCADIO PAZ
90112118;23;LAS TACANAS/TACANAS
90112080;23;HUALINCHAY
90112077;23;GONZALO
90112031;23;CHUSCZA
90112030;23;CHULCA
90112029;23;CHOROMORO
90112022;23;BENJAMIN PAZ
90105086;23;VALLE DE SAN JAVIER
90105084;23;TAFI VIEJO
90105083;23;SIAMBON/EL SIAMBON
90105080;23;SAN JOSE DE RACO
90105079;23;SAN JOSE DE CHASQUIVIL
90105077;23;RACO
90105062;23;LAS TALITAS
90105025;23;EL DURAZNITO/DURAZNITO
90105023;23;EL COLMENAR (VILLA MARIANO MORENO)
90105015;23;CHASQUIVIL
90105013;23;BARRIO LOS POCITOS (LAS TALITAS)
90105012;23;BARRIO LOMAS DE TAFI
90105011;23;BARRIO DIAGONAL NORTE (LAS TALITAS)
90105006;23;ARQUITAS/LAS ARQUITAS
90105004;23;ANCAJULI
90105001;23;ALTO DE ANFAMA
90098224;23;YASYAMAYO
90098214;23;TAFI DEL VALLE
90098209;23;SALAS
90098203;23;QUEBRADA DE LOS CHAÑARES
90098197;23;PUESTO TALAPAZO
90098166;23;LOS ZAZOS
90098161;23;LOS CORPITOS
90098147;23;LAS CARRERAS
90098142;23;LARA
90098082;23;EL POTRERILLO/POTRERILLO
90098055;23;EL ARBOLAR
90098044;23;COLALAO DEL VALLE
90098022;23;AMPIMPA
90098021;23;AMAICHA DEL VALLE
90091117;23;YACUCHIRI
90091116;23;VILLA CHICLIGASTA
90091113;23;TREJOS/LOS TREJOS
90091111;23;SUR DE TREJOS
90091107;23;SIMOCA
90091105;23;SANTA ROSA DE NUEVA TRINIDAD
90091101;23;SAN PEDRO MARTIR
90091093;23;PUESTO LOS VALDEZ
90091089;23;PALOMINOS
90091088;23;NUEVA TRINIDAD
90091086;23;NIOGASTA
90091083;23;MONTEAGUDO
90091080;23;MACIO SUR
90091077;23;LOS VALENZUELAS
90091075;23;LOS SANDOVALES/SANDOVALES
90091074;23;LOS PEREZ
90091073;23;LOS MENDOZAS
90091070;23;LOS ARRIETAS
90091069;23;LOS AMAYA
90091067;23;LOS AGUDOS
90091066;23;LOMA DE CIUDACITA
90091049;23;INGAS/ESTANCIA INGAS
90091047;23;GUEMES
90091041;23;ESTACION MANUELA PEDRAZA
90091029;23;EL OVAL
90091020;23;CIUDACITA
90091018;23;CEJAS DE AROCA
90091014;23;CAMPO VOLANTE
90091012;23;BUENA VISTA OESTE
90091010;23;BALDERRAMA SUR
90091009;23;BALDERRAMA
90091005;23;ARROYO ATAHONA
90091003;23;AMPATA
90084004;23;SAN MIGUEL DE TUCUMAN
90077061;23;INGENIO SANTA BARBARA
90077060;23;LOS LUNA
90077057;23;VILLA CLODOMIRO HILERET
90077040;23;LOS RIOS
90077035;23;LOS CORDOBA
90077025;23;LA TIPA
90077007;23;COLONIAS 1 A 18- SANTA ANA
90077001;23;AGUILARES
90070102;23;LEON ROUGES
90070101;23;YONOPONGO SUR
90070100;23;YONOPONGO
90070097;23;VILLA QUINTEROS
90070094;23;TENIENTE BERDINA
90070092;23;SARGENTO MOYA
90070086;23;SAN JOSE DE FLORES
90070083;23;RINCON DE BALDERRAMA
90070077;23;PILCO
90070069;23;MONTEROS
90070067;23;LOS SOSA
90070066;23;LOS ROJOS
90070058;23;LAS MESADAS
90070045;23;ISLA SAN JOSE SUR
90070039;23;HUASA PAMPA
90070026;23;EL CERCADO
90070015;23;CASPINCHANGO
90070011;23;CAPITAN CACERES
90070007;23;ARANILLAS
90070005;23;AMBERES
90070002;23;ACHERAL
90063098;23;VILLA NOUGUES
90063097;23;EX INGENIO MERCEDES
90063080;23;OHUANTA
90063075;23;MANANTIAL DE OHUANTA
90063073;23;MALA MALA
90063072;23;LULES
90063059;23;LOS AGUIRRE
90063039;23;INGENIO SAN PABLO
90063034;23;EX INGENIO LULES
90063023;23;EL NOGALITO
90056169;23;INGENIO LEALES
90056163;23;VIZCACHERAL
90056161;23;VILLA LEALES
90056160;23;VILLA FIAD
90056152;23;TACANAS-ESTACION SUPERINTENDENTE LEDESMA
90056149;23;SANTA ROSA DE LEALES
90056145;23;SAN JOSE DE BUENA VISTA
90056141;23;ROMERA POZO
90056136;23;PUMA POZO
90056133;23;PUESTO CHICO
90056125;23;ORAN
90056119;23;MIXTA
90056118;23;MANUEL GARCIA FERNANDEZ
90056116;23;MANCOPA
90056115;23;MANCHALA
90056112;23;LOS SUELDOS
90056109;23;LOS PUESTOS
90056107;23;LOS LUNAREJOS
90056105;23;LOS JUAREZ
90056104;23;LOS HERRERA
90056102;23;LOS GOMEZ-EX ESTACION MIGUEL LILLO
90056096;23;LOS CAMPEROS
90056090;23;LAS TUSQUITAS
90056088;23;LAS PALMITAS/PALMITAS
90056085;23;LAS CAÑADAS
90056078;23;LA ENCRUCIJADA
90056071;23;FRONTERITA/LA FRONTERITA
90056070;23;FINCA TINA
90056061;23;ESTACION LA ENCANTADA
90056056;23;ESTACION CACHI YACO
90056054;23;ESTACION ARAOZ
90056052;23;ESQUINA DEL LLANO
90056049;23;ENTRE RIOS DE LEALES
90056036;23;EL GUARDAMONTE
90056035;23;EL CORTADERAL
90056033;23;EL CHILCAR/EL CHIRCAL/EL CHICAL
90056015;23;CAÑADA DE VICLOS
90056014;23;CARANCHO POZO
90056011;23;CAMPO AZUL
90056006;23;AMAICHA DEL LLANO
90056004;23;AGUA SALADA
90049087;23;YANIMAS
90049081;23;SAN JOSE DE LA COCHA
90049080;23;SAN IGNACIO-ESTACION KM19
90049077;23;RUMI PUNCO
90049064;23;LOS PIZARROS
90049039;23;HUASA PAMPA SUR
90049038;23;HUASA PAMPA NORTE- ESTACION HUASA PAMPA
90049026;23;EL SACRIFICIO
90049002;23;ALTO DEL PUESTO
90042047;23;YAQUILO
90042038;23;PUERTA DE MARAPA
90042032;23;MARAPA
90042031;23;LOS GUAYACANES/GUAYACANES
90042030;23;LOS ARROYOS
90042018;23;ESCABA/VILLA ESCABA
90042016;23;ESCABA DE ABAJO
90042009;23;DONATO ALVAREZ
90042005;23;CAMPO BELLO
90035184;23;VILLTRAN
90035173;23;TACO RODEO
90035172;23;TACO RALO
90035152;23;RAMOS
90035147;23;PUESTO LOS PEREZ
90035118;23;PALANCHO/EL PALANCHO
90035116;23;PAEZ
90035081;23;LAMADRID
90035075;23;LA IGUANA
90035067;23;ICHIPUCA
90035066;23;GRANEROS
90035064;23;GRAMAJOS/LOS GRAMAJOS
90035007;23;ARBOLES GRANDES
90035006;23;AMUMPA
90028071;23;NUEVA BAVIERA
90028070;23;KILOMETRO102
90028066;23;SAUCE HUASCHO
90028062;23;SAN GABRIEL DEL MONTE
90028046;23;LA MONTAÑITA
90028040;23;INGENIO FRONTERITA
90028031;23;FAMAILLA
90028030;23;ESTACION PADILLA
90028020;23;COLONIA SOBRECASAS
90028012;23;COLONIA 8 BELLA VISTA
90028008;23;CAMPO DE HERRERA
90021102;23;YUCUMANITA
90021079;23;MUYO
90021078;23;MONTE RICO VIEJO
90021075;23;MEDINA
90021070;23;LOS GUCHEAS
90021048;23;ILTICO
90021046;23;GASTONA SUR
90021045;23;GASTONA NORTE
90021041;23;FINCA LEON CORNET
90021040;23;FINCA LA FALDA
90021030;23;EL MOLINO
90021014;23;COCHA MOLLE/LOS COCHAMOLLES
90021007;23;BELICHA
90021004;23;ARCADIA
90014196;23;INGENIO LA FLORIDA
90014193;23;LOS GUTIERREZ
90014178;23;SAN MIGUELITO
90014166;23;RANCHILLOS VIEJO
90014165;23;RANCHILLOS - INCLUYE INGENIO SAN JUAN Y VILLANUEVA
90014164;23;RAFAELA POZO
90014161;23;POZO DEL ALTO
90014159;23;PACARA PINTADO
90014153;23;LOS VILLAGRAS
90014152;23;LOS VALLITOS
90014149;23;LOS RALOS-INCLUYE VILLAS RESCATE Y TERCERA Y EX IN
90014148;23;LOS PORCELES
90014146;23;LOS PEREYRAS
90014143;23;LOS LAPACHITOS/LAPACZITOS
90014140;23;LOS BULACIOS
90014137;23;LOLITA NORTE
90014128;23;LA TALA
90014123;23;LA FLORIDA - INCLUYE ESTACION PEDRO G. MENDEZ
90014112;23;FINCA MAYO
90014102;23;FAVORINA
90014095;23;ESTACION CRUZ DEL NORTE
90014093;23;ESPERANZA - INCLUYE DELFIN GALLO Y EX INGENIOS ESP
90014084;23;EL NARANJITO
90014076;23;EL CEVILAR
90014064;23;COLONIAS 1 A 11-LUISIANA
90014026;23;COLOMBRES INCLUYE EX INGENIO CRUZ ALTA
90014025;23;CEVIL POZO
90014016;23;CARBON POZO
90014014;23;CAMPO LA FLOR
90014012;23;BLANCO POZO
90014007;23;BANDA DEL RIO SALI - INCLUYE LASTENIA
90014005;23;ARBOL SOLO
90014004;23;ALDERETES - INCLUYE EL CORTE Y LOS GUTIERREZ
90014001;23;AGUA DULCE
90007314;23;BURRUYACU
90007313;23;VILLA PADRE MONTI
90007307;23;VILLA BENJAMIN ARAOZ
90007305;23;TUSCA PAMPA
